#BOX_NAME,CALL_TIME,CRANE_TIME,EXECUTION_TIME,RELOCATIONS,
C19-920-22,32692,32692,32693,0,
C0-50-22,32701,32701,32709,1,
C4-201-22,32707,32708,32709,0,
C20-948-22,32734,32737,32738,0,
C2-120-22,32737,32737,32780,6,
C17-801-22,32739,32779,32780,0,
C20-936-23,33623,33632,33633,0,
C21-992-23,33638,33653,33661,1,
C12-587-23,33661,33674,33675,0,
C17-818-23,33684,33702,33703,0,
C0-11-23,33709,33737,33755,3,
C11-533-23,33750,33811,33812,0,
C13-630-23,33756,33818,33836,3,
C3-167-23,33758,33842,33850,1,
C16-782-23,33770,33849,33857,1,
C17-814-23,33778,33856,33874,3,
C18-863-23,33785,33887,33888,0,
C22-1028-23,33794,33901,33902,0,
C1-54-23,33813,33901,33909,1,
C18-875-23,33818,33915,33923,1,
C20-963-23,33824,33922,33923,0,
C18-845-23,33831,33929,33937,1,
C16-751-23,33832,33936,33937,0,
C17-823-23,33838,33943,33944,0,
C12-600-23,33860,33943,33951,1,
C12-573-23,33868,33950,33951,0,
C20-938-23,33875,33950,33951,0,
C18-861-23,33942,33978,33979,0,
C17-806-23,33967,33978,33979,0,
C10-502-23,33979,33999,34007,1,
C6-314-23,34013,34013,34014,0,
C15-707-23,34014,34014,34015,0,
C1-82-23,34049,34051,34052,0,
C15-712-23,34050,34051,34052,0,
C19-895-23,34053,34053,34054,0,
C22-1037-23,34075,34079,34080,0,
C19-904-23,34089,34093,34094,0,
C21-998-23,34094,34107,34108,0,
C22-1036-23,34125,34132,34133,0,
C20-944-23,34130,34139,34140,0,
C18-880-23,34139,34139,34140,0,
C15-735-23,34152,34152,34153,0,
C20-957-23,34163,34163,34178,2,
C11-556-23,34170,34184,34185,0,
C17-809-23,34177,34184,34185,0,
C20-954-23,34180,34184,34185,0,
C4-221-23,34184,34184,34185,0,
C7-377-23,34186,34193,34215,3,
C20-968-23,34187,34214,34229,2,
C22-1027-24,35117,35117,35118,0,
C12-577-24,35120,35120,35128,1,
C23-1084-24,35143,35162,35163,0,
C15-716-24,35145,35162,35163,0,
C22-1039-24,35147,35162,35163,0,
